Asset,TotalDebt,Equity,PaidUpCapital,Revenue,NetProfit,EarningPerShare,ROA,ROE,Period,Symbol
"8,089.66","2,503.45","5,586.21","1,032.16","2,521.36",829.51,0.41,11.06,16.50,4Q2564,SKR
"8,354.35","2,381.85","5,972.50","1,032.16","1,752.27",386.29,0.19,4.70,6.68,1Q2565,SKR
"7,858.51","1,959.88","5,898.63","1,032.16","1,348.70",173.07,0.08,2.13,2.92,2Q2565,SKR
"7,969.12","1,922.38","6,046.74","1,032.16","1,413.91",312.73,0.15,3.95,5.24,3Q2565,SKR
"8,818.21","1,919.82","6,898.39","1,032.16","1,196.37",151.58,0.07,1.81,2.34,4Q2565,SKR
145.47,26.94,118.53,85.00,,,,,,4Q2556,SKY
144.96,31.96,113.00,85.00,37.27,1.27,0.01,0.87,1.09,1Q2557,SKY
176.56,54.92,121.64,85.00,88.63,8.64,0.05,5.37,7.36,2Q2557,SKY
236.92,47.96,188.96,115.00,60.53,7.72,0.04,3.73,4.97,3Q2557,SKY
224.15,32.36,191.79,115.00,46.59,2.84,0.01,1.23,1.49,4Q2557,SKY
225.52,32.48,193.03,115.00,40.81,1.40,0.01,0.62,0.73,1Q2558,SKY
219.16,35.16,184.00,115.00,39.10,0.16,0.00,0.07,0.09,2Q2558,SKY
247.07,54.90,192.17,115.00,83.10,8.17,0.04,3.50,4.34,3Q2558,SKY
231.56,37.21,194.35,115.00,42.55,2.18,0.01,0.91,1.13,4Q2558,SKY
249.15,53.04,196.10,115.00,74.88,2.07,0.01,0.86,1.06,1Q2559,SKY
336.91,148.19,188.72,115.00,60.74,1.82,0.01,0.62,0.94,2Q2559,SKY
341.26,151.73,189.53,115.00,72.70,0.81,0.00,0.24,0.43,3Q2559,SKY
371.02,176.91,194.12,115.00,108.43,4.59,0.02,1.29,2.39,4Q2559,SKY
346.71,149.62,197.08,115.00,46.19,0.40,0.00,0.11,0.20,1Q2560,SKY
356.06,164.96,191.11,115.00,22.59,-5.97,-0.03,-1.70,-3.08,2Q2560,SKY
622.12,157.04,465.08,138.00,171.87,-1.52,-0.01,-0.31,-0.46,3Q2560,SKY
862.46,222.48,639.97,138.00,301.64,11.89,0.05,1.60,2.15,4Q2560,SKY
"1,358.97",357.56,"1,001.41",241.89,312.66,34.43,0.09,3.10,4.20,1Q2561,SKY
"1,527.37",477.93,"1,049.44",241.89,229.71,48.03,0.10,3.33,4.68,2Q2561,SKY
"1,882.20",801.05,"1,081.15",241.89,272.48,31.71,0.06,1.86,2.98,3Q2561,SKY
"3,185.29","2,109.79","1,075.50",241.89,165.41,-6.79,-0.01,-0.27,-0.63,4Q2561,SKY
"3,623.89","2,515.35","1,108.53",241.89,703.57,33.04,0.06,0.97,3.03,1Q2562,SKY
"4,356.18","3,187.90","1,168.28",246.34,807.16,47.50,0.10,1.19,4.17,2Q2562,SKY
"4,577.13","3,007.36","1,569.76",268.84,"1,950.40",172.44,0.34,3.86,12.60,3Q2562,SKY
"4,764.92","3,281.92","1,483.00",268.84,510.74,-29.39,-0.08,-0.63,-1.93,4Q2562,SKY
"4,265.16","2,756.73","1,508.43",268.84,721.07,28.68,0.04,0.64,1.92,1Q2563,SKY
"4,440.47","2,650.15","1,790.31",278.84,760.91,25.99,0.05,0.60,1.58,2Q2563,SKY
"6,272.54","4,471.59","1,800.95",278.84,988.93,21.00,0.04,0.39,1.17,3Q2563,SKY
"9,368.58","7,093.79","2,274.78",308.13,"1,079.25",81.93,0.15,1.05,4.02,4Q2563,SKY
"8,859.50","6,503.87","2,355.63",308.13,987.42,14.22,0.02,0.16,0.61,1Q2564,SKY
"8,698.14","6,263.13","2,435.01",308.13,812.09,19.49,0.02,0.22,0.81,2Q2564,SKY
"8,822.55","6,234.46","2,588.09",308.13,707.01,14.54,0.02,0.17,0.58,3Q2564,SKY
"7,637.68","5,095.01","2,542.67",308.13,501.32,6.94,0.01,0.08,0.27,4Q2564,SKY
"8,103.50","5,450.22","2,653.28",308.13,469.14,181.36,0.30,2.30,6.98,1Q2565,SKY
"8,661.63","5,857.10","2,804.53",312.13,805.31,-20.18,-0.03,-0.24,-0.74,2Q2565,SKY
"9,595.19","6,786.60","2,808.59",312.13,680.31,-35.57,-0.06,-0.39,-1.27,3Q2565,SKY
"9,095.17","6,424.88","2,670.29",312.13,844.68,83.44,0.13,0.89,3.05,4Q2565,SKY
613.13,256.87,356.25,225.00,,,,,,4Q2557,SLP
622.94,304.13,318.80,225.00,140.51,12.55,0.01,2.03,3.72,1Q2558,SLP
"1,101.77",136.76,965.01,300.00,137.05,9.23,0.01,1.07,1.44,2Q2558,SLP
"1,094.82",127.74,967.07,300.00,138.14,2.07,0.00,0.19,0.21,3Q2558,SLP
"1,051.74",78.48,973.26,300.00,116.95,5.39,0.01,0.50,0.56,4Q2558,SLP
"1,081.38",84.97,996.42,300.00,153.99,23.16,0.02,2.17,2.35,1Q2559,SLP
"1,057.88",73.73,984.15,300.00,122.01,11.73,0.01,1.10,1.18,2Q2559,SLP
"1,037.24",61.72,975.53,300.00,131.58,21.38,0.02,2.04,2.18,3Q2559,SLP
"1,045.40",53.92,991.48,300.00,126.10,15.95,0.01,1.53,1.62,4Q2559,SLP
"1,070.24",63.43,"1,006.81",300.00,127.98,15.33,0.01,1.45,1.53,1Q2560,SLP
"1,042.82",64.04,978.78,300.00,126.42,13.97,0.01,1.32,1.41,2Q2560,SLP
"1,039.11",72.82,966.29,300.00,141.64,17.51,0.01,1.68,1.80,3Q2560,SLP
"1,011.34",40.37,970.97,300.00,111.06,5.04,0.00,0.49,0.52,4Q2560,SLP
"1,032.93",50.20,982.73,300.00,124.74,11.77,0.01,1.15,1.20,1Q2561,SLP
"1,039.12",67.53,971.59,300.00,107.45,6.86,0.01,0.66,0.70,2Q2561,SLP
"1,016.41",47.62,968.79,300.00,131.55,15.20,0.01,1.48,1.57,3Q2561,SLP
"1,002.49",36.96,965.53,300.00,87.90,-3.44,-0.00,-0.34,-0.36,4Q2561,SLP
"1,001.18",44.18,957.00,300.00,92.95,-8.53,-0.01,-0.85,-0.89,1Q2562,SLP
980.31,38.93,941.39,300.00,100.39,-3.62,-0.00,-0.36,-0.38,2Q2562,SLP
970.90,38.20,932.70,300.00,96.58,-8.69,-0.01,-0.89,-0.93,3Q2562,SLP
