Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),SymbolId,Period as of,Date
14005.75,7399.0,6455.64,894.67,10822.47,318.75,1170.03,1.31,11.21,18.05,11.07,503,Y/E 2019,2019-12-31
17678.21,11052.18,6482.38,894.67,3936.43,739.79,-527.49,-0.59,-2.89,-8.15,-13.72,503,Y/E 2020,2020-12-31
16519.47,9232.65,7169.92,894.67,3365.01,3554.5,1581.45,1.77,12.58,23.17,45.74,503,Y/E 2021,2021-12-31
9632.59,3908.25,5724.25,433.39,10443.48,-6.93,1206.01,1.39,15.72,21.99,11.55,461,Y/E 2018,2018-12-31
10532.71,4357.61,6175.0,435.94,11163.72,-72.25,1138.52,1.31,13.53,19.14,10.2,461,Y/E 2019,2019-12-31
11589.71,4610.79,6957.64,435.94,12613.02,-15.47,1392.65,1.6,15.32,21.21,11.01,461,Y/E 2020,2020-12-31
13271.7,5246.58,8002.82,435.94,14182.36,117.01,1946.83,2.23,18.54,26.03,13.69,461,Y/E 2021,2021-12-31
267700.31,184626.19,71923.74,4618.91,78840.06,487.94,5444.77,1.18,5.16,9.13,7.25,40,Y/E 2018,2018-12-31
254183.77,168315.92,75461.25,4619.0,129061.6,827.51,10697.93,2.04,6.66,14.52,8.52,40,Y/E 2019,2019-12-31
362326.52,286002.61,66980.9,5182.33,58695.64,-463.9,-21407.34,-4.71,-5.74,-30.06,-38.68,40,Y/E 2020,2020-12-31
369632.89,290140.46,68022.67,5213.77,76211.26,1260.38,-13166.51,-2.83,-2.41,-19.51,-18.6,40,Y/E 2021,2021-12-31
49146.11,36847.04,12299.07,2120.00,10416.46,-,3713.39,1.75,13.30,34.96,35.65,618,Y/E 2018,2018-12-31
61871.60,45899.89,15971.71,2120.00,12687.93,-,4237.47,2.00,11.02,26.53,33.40,618,Y/E 2019,2019-12-31
77221.88,56539.74,20682.13,2120.0,14732.59,36.14,5213.92,2.46,11.98,28.45,35.39,618,Y/E 2020,2020-12-31
98389.84,73521.34,24868.5,2120.0,16018.74,19.51,4944.55,2.33,9.49,21.71,30.87,618,Y/E 2021,2021-12-31
7480.91,5376.03,2104.68,3810.0,3216.12,4.68,633.86,16.64,10.15,30.12,19.71,510,Y/E 2020,2020-12-31
9305.45,2459.95,6845.34,4762.5,5438.12,0.1,828.38,0.42,13.04,18.51,15.23,510,Y/E 2021,2021-12-31
152176.21,113468.38,38707.83,90000.0,583208.75,927.85,10895.81,1.21,9.59,28.15,1.87,408,Y/E 2019,2019-12-31
144979.3,107063.34,37823.44,90000.0,432848.96,108.31,8791.07,0.98,8.09,22.97,2.03,408,Y/E 2020,2020-12-31
207658.88,107786.68,99817.78,120000.0,515279.67,837.68,11474.03,0.99,8.76,16.67,2.23,408,Y/E 2021,2021-12-31
27203.33,18402.01,7437.31,1224.54,16323.01,-221.54,3337.95,1.37,18.43,53.15,20.68,258,Y/E 2018,2018-12-31
32079.48,21145.61,9656.64,1226.43,13663.56,219.58,3027.13,1.24,14.38,35.42,22.99,258,Y/E 2019,2019-12-31
33693.57,21685.57,11373.38,1226.43,10933.37,784.87,2661.89,1.09,10.91,25.32,25.28,258,Y/E 2020,2020-12-31
35398.44,19458.44,14937.09,1226.43,15266.93,634.37,3193.93,1.3,13.14,24.28,22.12,258,Y/E 2021,2021-12-31
23456.17,5153.44,18087.76,3003.75,24812.45,351.07,3005.34,1.48,19.68,28.06,12.34,44,Y/E 2018,2018-12-31
24323.87,6300.72,17871.31,3003.75,26151.32,199.53,3259.01,1.08,16.74,18.13,12.5,44,Y/E 2019,2019-12-31
25855.48,6526.41,19224.1,3003.75,26129.08,225.31,3504.31,1.17,16.3,18.89,13.15,44,Y/E 2020,2020-12-31
27141.61,7237.81,19884.37,3003.75,27277.96,263.41,3254.92,1.08,14.88,16.65,11.68,44,Y/E 2021,2021-12-31
5734.02,1389.15,4056.25,352.96,4039.26,4.01,642.78,0.18,18.12,16.85,18.23,511,Y/E 2018,2018-12-31
7979.45,1089.48,6375.36,388.26,4919.5,-2.25,743.19,0.2,15.4,14.25,17.42,511,Y/E 2019,2019-12-31
12250.21,6595.67,5280.18,388.26,3768.02,-11.04,140.23,0.04,2.4,2.41,3.23,511,Y/E 2020,2020-12-31
13764.43,6404.23,7052.78,419.32,4607.41,-27.8,64.04,0.02,1.51,1.04,-0.23,511,Y/E 2021,2021-12-31
27836.91,15141.45,12695.42,1559.29,4970.12,19.07,456.2,0.29,4.53,3.65,9.18,559,Y/E 2018,2018-12-31
25060.55,13501.5,11559.01,1559.29,4182.65,14.19,-228.49,-0.15,1.81,-1.88,-5.46,559,Y/E 2019,2019-12-31
21396.85,11262.56,10134.26,1559.29,3739.07,8.06,-1294.86,-0.83,-2.98,-11.94,-34.63,559,Y/E 2020,2020-12-31
23530.5,9165.49,14364.98,1559.29,8814.29,22.8,4474.93,2.87,21.78,36.53,50.77,559,Y/E 2021,2021-12-31
20939.73,15463.91,5444.03,1670.0,108142.0,-12.21,624.74,0.37,5.31,11.85,0.58,411,Y/E 2018,2018-12-31
22651.87,15944.38,6647.52,1670.0,120251.82,39.64,1560.68,0.93,10.36,25.81,1.3,411,Y/E 2019,2019-12-31
42037.4,34057.48,7883.67,1670.0,104666.06,412.24,1894.04,1.13,10.62,26.07,1.82,411,Y/E 2020,2020-12-31
44384.2,36184.36,8095.13,1670.0,134088.17,204.73,1006.37,0.6,5.54,12.6,0.76,411,Y/E 2021,2021-12-31
2355483.87,1036989.52,875083.83,28563.0,2353090.01,14868.53,119683.94,4.15,10.75,14.13,7.03,412,Y/E 2018,2018-12-31
2484438.68,1183399.06,878604.11,28563.0,2239718.62,21320.82,92950.6,3.2,7.56,10.6,5.45,412,Y/E 2019,2019-12-31
2544182.88,1258337.79,882040.4,28563.0,1633977.16,15713.74,37765.81,1.32,3.72,4.29,2.44,412,Y/E 2020,2020-12-31
3078018.83,1605079.11,1006696.22,28563.0,2287758.51,-29416.61,108363.41,3.79,8.82,11.47,6.65,412,Y/E 2021,2021-12-31
635087.33,245023.94,390063.39,3969.99,176686.92,-367.98,36206.29,8.69,10.72,9.45,20.49,413,Y/E 2018,2018-12-31
669464.01,312405.29,357058.71,3969.99,195457.52,338.79,48802.54,11.72,11.81,13.06,24.97,413,Y/E 2019,2019-12-31
675637.1,321226.21,354410.88,3969.99,166599.74,2125.64,22664.01,5.65,7.34,6.37,13.6,413,Y/E 2020,2020-12-31
783535.67,368185.92,415349.75,3969.99,234631.13,-8087.13,38863.6,9.7,11.91,10.1,16.56,413,Y/E 2021,2021-12-31
469255.35,165773.14,296045.76,45088.49,522331.65,7402.36,40069.49,8.89,10.36,14.04,7.71,155,Y/E 2018,2018-12-31
452514.39,158919.04,285830.17,45088.49,415160.4,7813.13,11682.08,2.59,3.5,4.02,2.97,155,Y/E 2019,2019-12-31
489382.65,200388.69,281015.11,45088.49,331571.29,4144.26,199.61,0.04,0.86,0.07,0.2,155,Y/E 2020,2020-12-31
754115.49,426512.33,318241.84,45088.49,491490.37,635.51,44982.39,10.01,9.44,15.01,9.27,155,Y/E 2021,2021-12-31
54147.87,27878.38,26269.49,10714.38,16341.42,1776.24,3800.74,0.35,8.76,14.88,23.26,268,Y/E 2018,2018-12-31
50901.91,24038.5,26863.42,10714.38,10949.16,1927.28,2853.86,0.27,6.74,10.74,26.06,268,Y/E 2019,2019-12-31
47667.13,21098.69,26568.44,10714.38,9376.76,1530.3,2123.42,0.2,5.68,7.95,22.65,268,Y/E 2020,2020-12-31
46235.69,19250.53,26985.16,10714.38,8355.7,1382.07,1669.66,0.16,4.73,6.24,19.98,268,Y/E 2021,2021-12-31
101251.9,41315.89,59936.02,14500.0,40348.07,3870.44,5587.6,3.85,7.63,9.07,13.8,415,Y/E 2018,2018-12-31
100229.43,40815.5,59413.27,14500.0,39251.7,3835.9,5963.28,4.11,8.2,9.99,15.19,415,Y/E 2019,2019-12-31
112132.25,51610.68,60520.89,14500.0,34921.65,4774.56,6286.68,4.34,7.41,10.48,18.0,415,Y/E 2020,2020-12-31
154855.31,77045.76,70289.71,14500.0,38213.22,6429.86,7772.02,5.36,7.36,11.88,20.36,415,Y/E 2021,2021-12-31
3447.66,1355.90,2092.83,1480.00,2749.59,-,323.75,0.26,12.42,15.47,11.68,49,Y/E 2018,2018-12-31
4412.31,542.44,3870.27,2000.00,2881.99,-,352.78,0.22,11.93,11.83,12.27,49,Y/E 2019,2019-12-31
4883.40,794.58,4090.93,2000.00,3187.27,-,519.02,0.26,13.92,13.04,16.23,49,Y/E 2020,2020-12-31
5005.52,768.97,4224.23,2000.0,3391.06,10.49,420.1,0.21,12.27,10.1,12.47,49,Y/E 2021,2021-12-31
18296.09,9887.67,8400.79,828.75,11982.17,311.58,-357.74,-0.43,-0.55,-4.13,-2.97,560,Y/E 2018,2018-12-31
17037.59,9632.22,7400.35,828.75,16566.18,222.0,-491.75,-0.59,-0.89,-6.22,-2.98,560,Y/E 2019,2019-12-31
17989.31,8915.48,9067.86,828.75,17254.7,179.32,1744.79,2.1,11.56,21.19,10.12,560,Y/E 2020,2020-12-31
38713.28,12800.22,25905.66,828.75,38007.26,216.63,17972.75,21.69,64.17,102.78,47.3,560,Y/E 2021,2021-12-31
39217.14,25588.94,11862.86,1147.77,7881.33,-,2768.36,2.41,12.25,26.01,38.08,619,Y/E 2018,2018-12-31
45461.61,25269.90,18388.37,1336.25,9793.26,-,3756.49,2.85,12.56,20.43,40.12,619,Y/E 2019,2019-12-31
52007.37,27937.49,22084.87,1373.15,10993.03,-,4508.33,3.32,14.13,22.28,43.58,619,Y/E 2020,2020-12-31
49966.87,22991.54,24697.86,1373.15,10230.83,-28.94,4722.14,3.44,14.08,20.19,49.24,619,Y/E 2021,2021-12-31
