"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2021","2,159.43","2,169.84","2,176.19","2,159.17","2.07B","-0.40%"
"12/02/2021","2,168.00","2,157.36","2,169.81","2,150.47","2.08B","-0.02%"
"12/01/2021","2,168.44","2,152.41","2,171.07","2,130.27","3.25B","1.36%"
"11/30/2021","2,139.25","2,187.46","2,202.95","2,135.21","5.66B","-1.40%"
"11/29/2021","2,169.64","2,198.29","2,211.70","2,166.98","4.59B","-1.36%"
"11/26/2021","2,199.66","2,241.42","2,243.96","2,195.71","6.35B","-2.55%"
"11/25/2021","2,257.25","2,266.94","2,269.23","2,250.90","3.34B","-0.07%"
"11/24/2021","2,258.84","2,260.66","2,271.86","2,255.63","3.80B","0.18%"
"11/23/2021","2,254.68","2,263.21","2,265.81","2,250.00","3.75B","-0.19%"
"11/22/2021","2,258.99","2,255.15","2,265.16","2,250.21","4.66B","0.45%"
"11/19/2021","2,248.94","2,262.92","2,267.93","2,244.44","4.28B","-0.46%"
"11/18/2021","2,259.40","2,249.85","2,265.11","2,248.11","3.72B","0.31%"
"11/17/2021","2,252.34","2,255.95","2,264.18","2,249.50","4.56B","0.00%"
"11/16/2021","2,252.43","2,249.17","2,259.73","2,244.25","3.62B","0.36%"
"11/15/2021","2,244.41","2,238.65","2,250.26","2,238.07","2.66B","0.44%"
"11/12/2021","2,234.54","2,241.71","2,247.09","2,233.23","2.34B","0.00%"
"11/11/2021","2,234.65","2,229.60","2,238.87","2,225.70","2.37B","0.12%"
"11/10/2021","2,231.98","2,226.58","2,237.37","2,222.85","2.33B","-0.08%"
"11/09/2021","2,233.83","2,231.26","2,239.73","2,224.91","2.24B","0.14%"
"11/08/2021","2,230.65","2,237.66","2,244.35","2,223.14","3.23B","0.06%"
"11/05/2021","2,229.26","2,230.57","2,233.88","2,220.02","1.67B","-0.01%"
"11/04/2021","2,229.49","2,213.70","2,232.96","2,204.18","2.42B","0.84%"
"11/03/2021","2,210.93","2,223.48","2,228.02","2,204.94","3.81B","-0.41%"
"11/02/2021","2,220.09","2,215.16","2,224.71","2,203.49","2.69B","0.45%"
"11/01/2021","2,210.12","2,227.92","2,237.10","2,205.11","2.63B","-0.47%"
"10/29/2021","2,220.55","2,225.87","2,231.04","2,214.89","2.14B","-0.12%"
"10/28/2021","2,223.23","2,223.21","2,234.27","2,217.55","2.81B","-0.11%"
"10/27/2021","2,225.62","2,234.01","2,238.95","2,224.33","2.68B","-0.67%"
"10/26/2021","2,240.65","2,239.70","2,245.67","2,226.34","2.75B","0.11%"
"10/25/2021","2,238.18","2,254.05","2,255.91","2,232.20","2.45B","-0.58%"
