Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),SymbolId,Period as of
10323.3,4130.27,6193.01,2000,5728.93,-2.6,761.65,0.38,10.98,13.13,13.29,497,2021-12-30 00:00:00
103830.91,68218.88,35498.77,15285,18586.29,933.83,5317.04,0.35,8.27,15.98,28.71,544,2018-12-30 00:00:00
111696.77,72873.59,38780.72,15285,20221.19,355.32,5434.82,0.36,8.29,14.63,26.96,544,2019-12-30 00:00:00
113615.76,75582.03,37991.4,15285,14316.16,6.41,2051.09,0.13,4.04,5.34,14.35,544,2020-12-30 00:00:00
115088.5,77389.67,37697.28,15285,11481.59,,1010.1,0.07,2.91,2.67,8.81,544,2021-12-30 00:00:00
100636.04,72896.92,19253.46,5213.8,37044.83,176.38,1862.81,0.71,6.4,9.83,8.03,384,2018-12-30 00:00:00
121692.8,83015.54,28144.4,5213.8,44421.39,238.9,2331.15,0.88,6.16,9.84,8.95,384,2019-12-30 00:00:00
130695.88,91391.8,27470.27,5213.8,44337.67,-275.61,2174.76,0.68,5.69,7.82,8.47,384,2020-12-30 00:00:00
149197.56,108382.05,29471.16,5213.8,46816.24,800.15,2275.7,0.72,5.72,7.99,7.3,384,2021-12-30 00:00:00
24748.81,6004.38,18454.61,730.05,18541.03,-5.19,4151.89,5.7,21.57,23.82,22.42,475,2018-12-30 00:00:00
26181.03,5915.9,19973.37,730.05,18718.27,-15.48,3747.73,5.14,18.3,19.51,20.09,475,2019-12-30 00:00:00
24221.67,5385.05,18531.53,795.77,12567.83,2.32,1204.14,1.54,5.95,6.25,9.72,475,2020-12-30 00:00:00
20856.8,3238.87,17286.12,795.77,12673.3,-14.33,1215.68,1.53,6.99,6.79,9.78,475,2021-12-30 00:00:00
324577.85,286069.69,38504.61,1707.57,53904.56,,4969.74,2.91,1.83,12.87,9.2,612,2018-12-30 00:00:00
333680.07,289419.62,44225.29,1707.57,48943.3,,4385.99,2.57,1.61,10.6,8.96,612,2019-12-30 00:00:00
339778.27,293679.88,46098.16,1707.57,47366.4,,1608.27,0.94,0.52,3.56,3.4,612,2020-12-30 00:00:00
347142.83,299176.69,47965.88,1707.57,48168.59,,3195.95,1.87,1.1,6.8,6.63,612,2021-12-30 00:00:00
144314.85,92164.46,38746.62,47381.48,48618.31,822.67,2872.95,0.24,4.86,7.24,7.33,546,2019-12-30 00:00:00
173100.48,105854.89,54923.01,52617.18,38680.65,5593.44,8161.75,0.65,7.28,17.43,22.8,546,2020-12-30 00:00:00
212062.43,136025.07,60161.68,52644.52,42379.1,-1664.42,4576.27,0.35,5.09,7.95,12.65,546,2021-12-30 00:00:00
255866.57,169739.04,62062.84,52657.91,31194.5,-131.44,3825.58,0.29,3.55,6.26,12.44,546,2022-12-30 00:00:00
14319.92,6955.21,7176.83,1000,14597.43,-16.08,1158.57,1.16,10.7,16.21,6.58,21,2018-12-30 00:00:00
14780.04,6061.67,8565.81,1000,15051.82,,2506.46,2.51,21.75,31.84,16.4,21,2019-12-30 00:00:00
17086.68,6929.39,9956.01,1000,17386.29,,3525.03,3.53,27.2,38.06,20.47,21,2020-12-30 00:00:00
19185.65,9074.86,10209.29,1000,17570.33,,2881,2.88,18.99,28.57,16.18,21,2021-12-30 00:00:00
26447.45,13027.77,12902.15,1350,21768.15,35.39,2177.61,1.61,11.33,17.82,10.45,527,2018-12-30 00:00:00
27589.6,13445.98,13670.32,1350,21291.05,29.4,1744.24,1.29,8.53,13.13,8.5,527,2019-12-30 00:00:00
35350.14,25134.59,9922.77,1350,13249.45,-20.94,-2775.11,-2.06,-8.47,-23.52,-21.87,527,2020-12-30 00:00:00
48592.54,30160.85,18076.41,1350,11635.4,-64.08,-1733.21,-1.28,-2.66,-12.38,-15.1,527,2021-12-30 00:00:00
5708.18,1964.75,3562.97,1100,4430.84,,633.88,0.06,14.8,18.47,13.89,476,2018-12-30 00:00:00
6265.69,2370.25,3702.47,1100,5190.87,,705.24,0.06,14.85,19.41,12.8,476,2019-12-30 00:00:00
6200.79,2007.61,4024.47,1100,5464.48,,876.62,0.08,17.76,22.69,15.6,476,2020-12-30 00:00:00
10549.69,2708.72,7568.94,1100,12001.36,,4204.07,0.38,63.25,72.53,35.56,476,2021-12-30 00:00:00
83500.54,57671.82,25421.01,1693.9,30915.58,1917.62,2494.31,1.47,4.76,10.2,8.04,348,2018-12-30 00:00:00
82585.59,54773.07,27392.67,1693.9,24748.82,1853.94,1777.78,1.05,3.79,6.73,7.24,348,2019-12-30 00:00:00
82774.02,56503.38,25846.62,1693.9,18167.02,1131.81,612.16,0.37,2.34,2.3,3.45,348,2020-12-30 00:00:00
83420.94,57312.98,25668.9,1693.9,13996.33,1510.81,905.7,0.55,2.84,3.52,6.67,348,2021-12-30 00:00:00
62503.1,30981.1,18333.43,7370,9114.8,8.33,599.07,0.08,4.08,3.32,14.97,387,2018-12-30 00:00:00
64190.93,28644.23,23548.68,8129.38,8840.21,435.4,768.9,0.1,3.56,3.67,12.25,387,2019-12-30 00:00:00
67038.45,32000.46,23774.41,8129.38,7177.49,418.22,404.71,0.05,1.8,1.71,2.75,387,2020-12-30 00:00:00
68977.35,32847.28,24833.76,8129.38,9369.49,1527.74,2179.01,0.27,5.71,8.97,29.36,387,2021-12-30 00:00:00
7588.62,4812.09,2770.81,300,27963.12,19.12,891.06,0.74,15.5,35.16,3.19,444,2018-12-30 00:00:00
9159.67,5783.52,3373.79,300,33390.19,37.87,1216.32,1.01,18.59,39.59,3.64,444,2019-12-30 00:00:00
9206.72,5335.89,3852.29,300,37352.9,105.3,1490.68,1.24,20.43,41.26,4,444,2020-12-30 00:00:00
15965.74,10664.99,5284.86,300,51154.66,118.4,2630.39,2.19,25.67,57.58,5.14,444,2021-12-30 00:00:00
373741.62,273922.93,84830.8,8983.1,527820.03,39.72,20929.65,2.22,8.81,26.14,4.01,445,2018-12-30 00:00:00
375617.45,267249.66,93738.86,8983.1,571006.48,103.58,22343.08,2.38,8.94,25.02,3.97,445,2019-12-30 00:00:00
523354.33,411759.3,96758.74,8983.1,546364.02,162.56,16102.42,1.68,6.18,16.91,3.02,445,2020-12-30 00:00:00
931892.56,639085.34,104134.13,8983.1,587189.76,6895.02,12985.48,1.33,3.47,12.93,2.05,445,2021-12-30 00:00:00
628090.85,409432.6,165533.16,8611.24,550053.85,17563.11,15531.47,1.82,6.44,9.31,3.9,26,2018-12-30 00:00:00
634050.56,415178.17,168275.26,8611.24,536775.52,16992.9,18455.81,2.18,6.87,11.06,4.49,26,2019-12-30 00:00:00
761719.09,499540.52,191936.79,8611.24,595011.1,21974.32,26022.39,3.14,10.3,14.45,7.41,26,2020-12-30 00:00:00
842680.62,555543.77,215066.99,8611.24,517584.4,13160.64,13028.26,1.56,4.15,6.4,2.72,26,2021-12-30 00:00:00
161707.83,87532.09,65726.02,2244,36457.59,1102.29,11215.65,2.5,9.82,17.59,31.22,239,2018-12-30 00:00:00
169933.03,89470.77,72128.41,2244,38402.81,1479.43,11738.4,2.62,9.02,17.03,30.75,239,2019-12-30 00:00:00
221773.51,144650.21,68790.05,2244,33161.11,1041.59,9557.1,2.13,6.96,13.56,29,239,2020-12-30 00:00:00
263420.84,181345.65,73102.18,2244,30397.53,703.96,7148.45,1.59,4.46,10.08,23.78,239,2021-12-30 00:00:00
177559.67,110232.9,55357.22,4700,203424.58,3437.37,10931.18,37.78,8.38,19.75,4.93,447,2018-12-30 00:00:00
187021.92,146062.59,28249.96,4700,222486.15,641.76,10633.26,2.26,8.74,25.44,5.56,447,2019-12-30 00:00:00
239179.95,183464.98,53393.74,6031,194311.43,131.92,46.27,0.01,1.13,0.11,0.18,447,2020-12-30 00:00:00
263227.82,204146.57,56388.47,6031,195653.81,279.08,59.37,0.01,1.2,0.11,0.14,447,2021-12-30 00:00:00
16674.63,11882.27,4792.37,1400,18535.17,,438.75,0.31,5.19,9.16,2.37,449,2018-12-30 00:00:00
18151.71,11691.34,6460.37,1856.16,17971.82,,725.51,0.46,6.64,12.89,4.04,449,2019-12-30 00:00:00
20765.17,13675.41,7089.75,2165.52,18924.82,,726.68,0.34,5.91,10.73,3.84,449,2020-12-30 00:00:00
27226.51,16346.77,10879.74,2422.17,25937.13,,1818.06,0.76,10.52,20.23,7.01,449,2021-12-30 00:00:00
150957.66,129027.98,21929.06,4735.62,75539.25,-5.32,-4368.69,-1.85,-3.35,-17.08,-5.78,581,2018-12-30 00:00:00
167338.82,142372.4,24966.41,4735.62,81228.2,-23.97,5421.89,2.29,6.07,23.12,6.67,581,2019-12-30 00:00:00
174280.39,149964.96,24315.42,4735.62,78883.4,317.97,5107.12,2.16,5.16,20.73,6.47,581,2020-12-30 00:00:00
164314.65,144147.17,20167.48,4735.62,81458.06,-148.62,3355.93,1.42,4,15.09,4.12,581,2021-12-30 00:00:00
59207.59,39689.97,18138.66,373,12490.22,159.77,4975.21,1.33,11.91,30.33,40.52,390,2018-12-30 00:00:00
70219.69,45353.23,23364.51,373,14954.54,145.82,6081.62,1.63,11.44,29.31,40.3,390,2019-12-30 00:00:00
78483.77,48856.89,27811.52,373,17196.26,-61.81,5204.57,1.4,8.97,20.34,29.35,390,2020-12-30 00:00:00
85476.25,50374.53,32501.02,373,20558.1,92.82,6100.07,1.64,8.93,20.23,28.84,390,2021-12-30 00:00:00
206427.81,105577.46,100239.38,5264.65,38174.19,19971.84,21072.88,40.03,12.82,22.6,55.32,393,2018-12-30 00:00:00
208522.6,103416.2,104490.41,5264.65,41055.02,6105.1,13059.24,24.81,7.34,12.76,31.97,393,2019-12-30 00:00:00
214437.69,111603.45,102243.2,5264.65,37782.97,5698.85,8733.03,16.59,6.62,8.45,23.18,393,2020-12-30 00:00:00
241932,127895.31,113440.87,5264.65,38136.94,6100.82,4103.84,7.8,5.71,3.81,10.8,393,2021-12-30 00:00:00
13393.19,3077.92,10292.55,2800,10622.59,170.76,904.32,0.32,7.5,8.87,8.5,209,2019-12-30 00:00:00
14032.19,3457.96,10555.13,2800,10269.8,129.95,1002.8,0.36,8.01,9.62,9.73,209,2020-12-30 00:00:00
15404.77,4364.34,11019.28,2800,9740.15,110.97,1218.89,0.44,8.95,11.3,12.54,209,2021-12-30 00:00:00
16268.11,4455.72,11785.47,2800,11825.43,292.15,1596.96,0.57,11.1,14.01,13.55,209,2022-12-30 00:00:00
61749.98,35917.88,25824.66,17075.18,200864.05,383.62,2225.16,0.64,4.79,8.24,1.11,395,2018-12-30 00:00:00
66242.63,44124.7,22110.5,17075.18,169430.07,379.99,-3065.7,-0.89,-5.69,-12.79,-1.81,395,2019-12-30 00:00:00
61378.09,47018.56,14352.09,17075.18,126738.85,285.1,-7911.07,-2.29,-15.05,-43.39,-6.24,395,2020-12-30 00:00:00
70054.6,50846.27,19200.9,17075.18,172907.15,226.82,4443.21,1.28,8.83,26.48,2.57,395,2021-12-30 00:00:00
8870.37,6363.88,1684.88,480,8077.23,8.41,526.15,0.55,12.72,29.4,10.15,583,2018-12-30 00:00:00
7617.02,5170.93,1506.85,480,6803.85,-1.65,331.36,0.35,9.73,20.76,8.9,583,2019-12-30 00:00:00
7822.37,5594.16,1292.39,480,7082.6,-12.32,438.84,0.47,10.77,31.35,9.12,583,2020-12-30 00:00:00
8817.62,6198.9,1702.83,480,8812.73,39.11,722.76,0.77,13.99,48.26,10.16,583,2021-12-30 00:00:00
31016.98,16130.62,14672.43,4001.47,26262.41,14.31,2003.04,0.5,9.16,14.3,7.58,452,2018-12-30 00:00:00
35986.39,19855.47,15912.14,4201.54,29182.28,29.36,2093.47,0.5,8.58,13.69,7.24,452,2019-12-30 00:00:00
36020.3,18806.46,16981.18,4401.61,27353.89,23.35,1955.96,0.44,7.43,11.89,7.22,452,2020-12-30 00:00:00
39274.6,19438.55,19560.85,4601.67,34116.11,80.75,3343.58,0.73,11.48,18.3,9.85,452,2021-12-30 00:00:00
64439.02,22089.95,39991.97,14983.01,25300.76,580.14,3359.19,2.24,7.47,8.55,15.37,397,2018-12-30 00:00:00
252016.62,141840.91,100893.03,28197.29,67480.77,1154.48,4060.8,2.25,7.2,5.76,8.89,397,2019-12-30 00:00:00
256656.32,144788.95,102901.39,28197.29,70982.68,925.67,7508.13,2.66,5.31,7.37,11.96,397,2020-12-30 00:00:00
270379.12,152631.58,108334.28,28197.29,78148.08,1442.78,7318.58,2.6,4.89,6.93,10.03,397,2021-12-30 00:00:00
123668.66,78880.41,36536.94,10666.5,17479.01,2750.22,3028.13,1.42,5.4,8.52,23.69,399,2018-12-30 00:00:00
134277.54,85237.6,38427.11,10666.5,30343.36,4208.92,4886.56,2.29,7.79,13.04,23.62,399,2019-12-30 00:00:00
245580.51,173500.69,64027.15,11733.15,33370.44,2328.31,4282.11,0.39,5.22,8.36,18.41,399,2020-12-30 00:00:00
362673.85,255164.71,96595.95,11733.15,49983.74,1811.26,7670.3,0.65,4.97,9.55,18.34,399,2021-12-30 00:00:00
35624.75,26124.7,8910.51,1854.66,6460.89,122.59,1090.24,0.15,6.31,12.04,18.24,400,2018-12-30 00:00:00
39041.54,27708.63,10712.21,2220.63,7175.37,288.55,2147.33,0.24,8.5,21.89,30.97,400,2019-12-30 00:00:00
46032.16,33556.84,12349.84,2220.63,8996.95,2023.11,3412.34,0.39,10.48,29.59,38.07,400,2020-12-30 00:00:00
42485.35,29202.13,13121.61,2220.63,9868.13,217.84,2229.27,0.25,7.7,17.5,22.82,400,2021-12-30 00:00:00
25368.31,4285.18,21083.13,804.88,22837.72,15.13,2375.22,2.95,10.14,11.37,10.4,568,2018-12-30 00:00:00
24426.18,3880.57,20545.62,804.88,20915.93,334.34,1804.58,2.24,7.74,8.67,8.63,568,2019-12-30 00:00:00
25180.13,3566.52,21613.61,804.88,19672.68,135.71,1907.74,2.37,7.41,9.05,9.7,568,2020-12-30 00:00:00
27852.97,4794.87,23058.09,804.88,24137,-159.81,1545.31,1.92,6.05,6.92,6.4,568,2021-12-30 00:00:00
54811.35,34897.26,19914.09,13151.2,66049.91,,5612.62,0.43,13.85,29.12,8.5,453,2018-12-30 00:00:00
52048.96,30910.88,21138.08,13151.2,67423.88,,6176.59,0.47,14.99,30.09,9.16,453,2019-12-30 00:00:00
56090.77,34525.53,21565.24,13151.2,61765.43,,5154.7,0.39,12.3,24.14,8.35,453,2020-12-30 00:00:00
58586.35,35695.91,22890.43,13151.2,63925.79,,5440.52,0.41,12.28,24.48,8.51,453,2021-12-30 00:00:00
50009.18,12067.86,30768.3,3206.42,6669.9,13734.59,11490.68,3.58,23.25,38.51,174.68,588,2018-12-30 00:00:00
49534.54,9085.5,34525.17,3206.42,5296.9,12105.74,11083.01,3.46,20.93,33.95,184.37,588,2019-12-30 00:00:00
52636.61,8495.84,38063.61,3206.51,4571.97,11049.11,11047.65,3.45,22.84,30.44,248.33,588,2020-12-30 00:00:00
53983.6,7282.72,40686.76,3206.6,3735.01,10990.91,10748.22,3.35,20.79,27.3,290.16,588,2021-12-30 00:00:00
182445.66,95066.03,87286.11,20434.42,281011.89,1341.96,7734.99,0.38,5.93,8.85,2.76,402,2018-12-30 00:00:00
177850.39,94448.28,83255.73,20434.42,241623.85,2008.64,-1174.04,-0.06,0,-1.38,-0.47,402,2019-12-30 00:00:00
173490.55,97824.63,75526.4,20434.42,175281.72,942.37,-6151.7,-0.3,-3.29,-7.75,-3.5,402,2020-12-30 00:00:00
190491.86,102779.57,87495.58,20434.42,256622.74,-1229.54,14504.62,0.71,10.23,17.79,5.66,402,2021-12-30 00:00:00
379194.83,227339.48,144837.79,5614.55,351299.15,1172.1,26465.4,4.61,10.39,20.21,7.5,151,2018-12-30 00:00:00
380567.91,242400.62,129711.92,5614.55,355864.78,-290.81,5252.11,0.76,3.03,3.83,1.23,151,2019-12-30 00:00:00
453171.51,317563.72,126655,5614.55,336542.78,262.25,2414.28,0.3,2.21,1.88,0.83,151,2020-12-30 00:00:00
541828.24,370824.81,158768.67,5614.55,473072.95,-136.95,26288.03,4.55,8.46,18.42,5.97,151,2021-12-30 00:00:00
19443.98,14739.51,2845.72,734.25,12895.37,-37.12,-277.06,-0.38,2.24,-9.11,-0.81,592,2018-12-30 00:00:00
20372.77,15140.34,3385.47,906.61,11850.43,66.6,533.85,0.59,7.54,17.13,6.69,592,2019-12-30 00:00:00
25901.09,19134.93,3739.18,921.43,11714.66,27.43,797.87,0.88,9.2,22.4,11.05,592,2020-12-30 00:00:00
45278.28,18455.66,17264.5,1382.21,12335.52,1665.15,2467.59,2.39,11.56,23.5,25.28,592,2021-12-30 00:00:00
8363.33,4896.51,3395.56,444,1885.83,-1.78,505.52,0.6,11.74,17.67,25.44,613,2018-12-30 00:00:00
10141.67,6708.39,3395.58,444,2536.36,14.38,681.36,0.77,11.3,20.07,25.61,613,2019-12-30 00:00:00
14270.41,8515.87,5724.07,488.05,3206.83,-5.81,1047.04,1.15,12.48,22.96,32.31,613,2020-12-30 00:00:00
28036.23,8958.57,19032.13,683.66,3656.2,,1400.37,1.29,9.29,11.31,37.72,613,2021-12-30 00:00:00
3155090.81,2737268.89,376297.55,23932.6,182231.62,11704.96,38459.12,16.07,2.64,10.61,24.26,614,2018-12-30 00:00:00
3293888.99,2840174.27,406357.62,23932.6,185002.38,16818.44,38726.74,16.18,2.52,9.9,23.48,614,2019-12-30 00:00:00
3658797.76,3167511.71,439669.63,23693.28,176921.41,9234.39,29487.12,12.42,1.72,6.97,19.04,614,2020-12-30 00:00:00
4103398.52,3566723.5,476713.71,23693.28,258001.38,5662.07,38052.72,15.77,1.75,8.3,16.37,614,2021-12-30 00:00:00
18121.01,6113.9,11950.81,586.4,14325.94,22.21,2014.87,1.72,12.19,17.38,14.2,569,2018-12-30 00:00:00
16501,4739.06,11712.33,586.4,12288.69,19.17,934.49,0.8,6.07,7.9,7.73,569,2019-12-30 00:00:00
17377.04,5315.02,12009.88,589.03,11741.86,9.84,1126.79,0.96,7.6,9.5,9.73,569,2020-12-30 00:00:00
21950.73,8508.64,13380.41,590.79,15329.77,17.41,2426.28,2.06,13.86,19.11,16.05,569,2021-12-30 00:00:00
6014.21,3781.04,2233.16,120,19894.6,,1328.55,5.54,27.87,59.49,6.68,551,2019-12-30 00:00:00
19318.24,8470.76,10847.47,870,19010.05,,1405.03,1.11,14.57,21.48,7.39,551,2020-12-30 00:00:00
17045.55,7728.66,9298.91,871.29,18972.08,,46.92,0.03,0.63,0.47,0.24,551,2021-12-30 00:00:00
306329.5,263988.94,42180.46,8467.51,21701.37,909.61,6041.98,7.14,4.39,14.47,27.85,615,2018-12-30 00:00:00
311690.01,267678.75,43902.11,8467.51,23778.75,1706.85,5988.44,7.07,4.21,13.91,25.19,615,2019-12-30 00:00:00
363411.02,316785.3,46517.18,8467.51,25391.78,1128.49,5123.27,6.05,3.37,11.33,20.26,615,2020-12-30 00:00:00
436123.2,384961.05,51046.1,8467.51,29101.4,-167.4,6318.05,7.46,2.9,12.95,21.84,615,2021-12-30 00:00:00
2739203.19,2425062.09,305875.45,72005.04,154068.76,5064.59,28491.29,2.04,2.65,9.6,20.18,616,2018-12-30 00:00:00
3012216.12,2663889.73,338287.3,72005.04,157678.72,8992.87,29284.04,2.09,2.57,9.09,20.38,616,2019-12-30 00:00:00
3327780.27,2972716.68,343465.75,72005.04,147758.14,6145.63,16731.59,1.2,1.53,4.91,13.16,616,2020-12-30 00:00:00
3556744.44,3182633,360052.89,72005.04,140309.27,5224.75,21588.29,1.54,1.51,6.14,17.5,616,2021-12-30 00:00:00
79647.82,63296.21,16351.61,2578.33,17713.28,142.34,5139.59,1.99,10.4,35.53,29.02,617,2018-12-30 00:00:00
85409.26,65674.22,19707.71,2578.33,18979.96,149.11,5524.07,2.14,9.92,28.03,29.1,617,2019-12-30 00:00:00
